Date,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,4,5
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,1,6
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,1,5
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,2,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,1,6
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Stethojulis,strigiventer,Stethojulis strigiventer,1,8
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2,5
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,4,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2,5
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1,8
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1,8
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2,5
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4,9
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2,7
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,1,3
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,1,9
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Chrysiptera,rex,Chrysiptera rex,2,4
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,2,3
