,ID,Date,Dummy,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
0,0,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,4.0,5.0
1,1,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,1.0,6.0
2,2,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,5.0
3,3,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
4,4,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
5,5,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Stethojulis,strigiventer,Stethojulis strigiventer,1.0,8.0
6,6,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,5.0
7,7,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,4.0,7.0
8,8,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,5.0
9,9,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1.0,8.0
10,10,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1.0,8.0
11,11,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3.0,7.0
12,12,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2.0,5.0
13,13,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4.0,9.0
14,14,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2.0,7.0
15,15,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,3.0
16,16,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,1.0,9.0
17,17,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Chrysiptera,rex,Chrysiptera rex,2.0,4.0
18,18,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,3.0
19,19,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,3.0,3.0
20,20,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1.0,6.0
21,21,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1.0,7.0
22,22,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,8.0,7.0
23,23,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3.0,6.0
24,24,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4.0,8.0
25,25,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,8.0
26,26,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,12.0
27,27,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,7.0
28,28,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,9.0
29,29,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,6.0
30,30,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,8.0
31,31,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,4.0,7.0
32,32,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
33,33,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,5.0
34,34,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
35,35,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,7.0,3.0
36,36,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,1.0,2.0
37,37,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Chrysiptera,rex,Chrysiptera rex,5.0,4.0
38,38,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,5.0,6.0
39,39,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Thalassoma,lunare,Thalassoma lunare,1.0,9.0
40,40,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
41,41,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
42,42,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,3.0,7.0
43,43,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Halichoeres,melanurus,Halichoeres melanurus,1.0,5.0
44,44,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,1.0,10.0
45,45,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,5.0
46,46,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,7.0
47,47,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,6.0,6.0
48,48,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,3.0,3.0
49,49,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,2.0
50,50,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stethojulis,strigiventer,Stethojulis strigiventer,1.0,13.0
51,51,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Zanclus,cornutus,Zanclus cornutus,1.0,11.0
52,52,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,6.0
53,53,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1.0,7.0
54,54,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,7.0
55,55,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,8.0
56,56,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
57,57,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,9.0
58,58,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,7.0
59,59,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,2.0,8.0
