,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Date,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-25-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23,META-26-Mar-23
Dummy,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0
Location,"Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas","Calatagan, Batangas"
Site,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,BuntongGasang,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA,QuilitisanMPA
Observer,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon,KSSorgon
Depth (m),<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Visibility (m),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Replicate,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Interval,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,40-70,0-30,0-30,0-30,0-30,0-30,0-30,0-30,0-30,0-30,0-30,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0,30-0
